instance,group,p,run,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,cs_observations,cs_active_clusters,cs_new_clusters,cs_center_updates,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_destroy_repair_calls,cs_destroy_repair_improvements,cs_ils_promotions,time_ils_s,time_total_s,status
pr2392_075.txt,pr2392,75,1,42,1.0188s),1164437.9197,1102948.1031,280,28,280,12,12,48,53,24,38963.4527,6,0,15,671.9954,674.7184,OK
pr2392_075.txt,pr2392,75,2,43,1.0432s),1154290.7889,1109801.0951,115,13,115,12,12,19,19,9,15766.2693,3,0,6,325.6445,329.2888,OK
pr2392_075.txt,pr2392,75,3,44,0.8901s),1148755.7165,1100485.6291,254,21,254,12,12,39,49,17,33361.6204,8,0,12,587.4425,588.9479,OK
pr2392_075.txt,pr2392,75,4,45,1.0670s),1144722.0596,1114010.6940,99,12,99,12,12,25,16,10,12500.0514,1,0,5,217.5587,220.5103,OK
pr2392_075.txt,pr2392,75,5,46,0.8571s),1157282.9869,1099785.5414,185,23,185,12,12,41,35,19,30984.4441,3,0,12,421.8400,423.8161,OK
rl1304_050.txt,rl1304,50,1,42,0.1717s),890389.7038,813044.8014,166,16,166,12,12,33,29,11,34729.1341,4,0,5,238.8749,240.0874,OK
rl1304_050.txt,rl1304,50,2,43,0.2619s),861661.7691,812337.6489,86,7,86,12,12,18,14,6,14414.3031,2,0,4,77.6422,78.0723,OK
rl1304_050.txt,rl1304,50,3,44,0.2469s),882825.5557,814485.7003,133,11,133,12,12,28,24,11,39604.7266,3,0,4,133.7213,134.0025,OK
rl1304_050.txt,rl1304,50,4,45,0.2193s),871835.2187,809094.6946,183,17,183,12,12,32,34,13,23946.9891,4,0,8,181.0143,181.3904,OK
rl1304_050.txt,rl1304,50,5,46,0.2400s),853128.0118,813184.5112,108,6,108,12,12,20,19,9,31336.2235,3,0,4,139.5739,139.9801,OK
rl1304_300.txt,rl1304,300,1,42,0.9619s),229392.8720,193373.0976,125,28,125,2,2,39,25,16,23420.2728,2,0,10,831.2947,841.7834,OK
rl1304_300.txt,rl1304,300,3,44,1.2357s),245105.2939,193294.6980,130,23,130,1,1,33,26,11,21938.7986,4,0,8,812.2294,826.0103,OK
u724_030.txt,u724,30,1,42,0.0517s),99596.7179,96051.4898,71,4,71,12,12,21,12,7,2430.5766,1,0,1,54.8286,54.8907,OK
u724_030.txt,u724,30,2,43,0.0426s),99885.7106,95525.9234,129,11,129,12,12,21,22,11,3886.6006,3,0,7,30.9813,31.0472,OK
u724_030.txt,u724,30,3,44,0.0705s),98511.8166,95391.6087,202,16,202,12,12,39,38,19,4121.8975,4,0,9,50.7865,50.8728,OK
u724_030.txt,u724,30,4,45,0.0546s),101502.9228,95478.7281,70,8,70,12,12,20,9,4,4035.7668,1,0,1,13.8468,13.9119,OK
u724_030.txt,u724,30,5,46,0.0469s),103325.7252,95228.6971,183,14,183,12,12,31,33,14,8933.8955,5,0,9,53.3897,53.4463,OK
u724_200.txt,u724,200,1,42,0.2021s),30712.7241,28199.7100,240,20,240,1,1,47,48,16,2185.6367,6,0,11,311.8554,313.9191,OK
u724_200.txt,u724,200,2,43,0.2337s),31108.5622,28257.9516,245,27,245,1,1,49,49,17,1960.6681,7,0,11,401.4005,404.4499,OK
u724_200.txt,u724,200,3,44,0.2086s),31224.1359,28147.9726,163,15,163,1,1,39,32,12,2769.6502,6,0,6,277.0108,279.7703,OK
u724_200.txt,u724,200,4,45,0.1920s),30792.9021,28139.1901,305,20,305,1,1,54,61,21,2582.7148,11,0,11,512.4451,514.9486,OK
u724_200.txt,u724,200,5,46,0.2411s),31539.7881,28170.0604,186,19,186,1,1,47,37,14,2598.6908,6,0,7,314.9578,318.5572,OK
